"User_hour_ID","User_daily_ID","Hour","MoodEA","MoodTA","Health","Location","Activity","rec_no","id","device_id"
"lethivui_2016_7_25_15","lethivui_2016_7_25","15","0","3","Bad","Office (University)","Individual Task","13","596","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_15","trinhthikhanhquynh_2016_7_25","15","3","0","Good","Home","Offical Task","38","597","d4d4f36a74a6edb4"
"lethivui_2016_7_25_16","lethivui_2016_7_25","16","2","2","Normal","Home","Individual Task","14","599","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_16","trinhthikhanhquynh_2016_7_25","16","3","0","Good","Home","Offical Task","39","600","d4d4f36a74a6edb4"
"lethivui_2016_7_25_17","lethivui_2016_7_25","17","1","3","Normal","Office (University)","Individual Task","15","602","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_25_17","trinhthikhanhquynh_2016_7_25","17","4","0","Good","Home","Offical Task","40","603","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_25_18","trinhthikhanhquynh_2016_7_25","18","4","0","Good","Home","Offical Task","41","604","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_25_10","trinhthikhanhquynh_2016_7_25","10","3","0","Good","Home","Individual Task","33","606","d4d4f36a74a6edb4"
"trinhthikhanhquynh_2016_7_25_19","trinhthikhanhquynh_2016_7_25","19","4","0","Good","Home","Offical Task","42","607","d4d4f36a74a6edb4"
"lethivui_2016_7_25_22","lethivui_2016_7_25","22","2","2","Normal","Home","Individual Task","16","612","ae93bc259cdc15e5"
"lethivui_2016_7_25_23","lethivui_2016_7_25","23","2","1","Normal","Home","Individual Task","17","616","ae93bc259cdc15e5"
"lethivui_2016_7_26_0","lethivui_2016_7_26","0","2","2","Normal","Home","Individual Task","18","618","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_8","trinhthikhanhquynh_2016_7_26","8","4","0","Good","On the Road","Relaxing activities","43","620","d4d4f36a74a6edb4"
"lethivui_2016_7_26_8","lethivui_2016_7_26","8","3","1","Good","Home","Individual Task","19","623","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_9","trinhthikhanhquynh_2016_7_26","9","3","0","Good","On the Road","Individual Task","44","624","d4d4f36a74a6edb4"
"lethivui_2016_7_26_9","lethivui_2016_7_26","9","2","2","Good","Home","Individual Task","20","626","ae93bc259cdc15e5"
"nguyenvietthanh2_2016_7_26_10","nguyenvietthanh2_2016_7_26","10","1","2","Normal","Office (University)","Individual Task","1","627","73dfd26de46fcf1a"
"trinhthikhanhquynh_2016_7_26_10","trinhthikhanhquynh_2016_7_26","10","2","0","Normal","Home","Individual Task","45","630","d4d4f36a74a6edb4"
"lethivui_2016_7_26_10","lethivui_2016_7_26","10","2","1","Normal","Home","Individual Task","21","632","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_11","trinhthikhanhquynh_2016_7_26","11","1","0","Normal","Home","Individual Task","46","633","d4d4f36a74a6edb4"
"lethivui_2016_7_26_11","lethivui_2016_7_26","11","2","2","Normal","Home","Individual Task","22","635","ae93bc259cdc15e5"
"trinhthikhanhquynh_2016_7_26_12","trinhthikhanhquynh_2016_7_26","12","4","0","Good","Home","Relaxing activities","47","636","d4d4f36a74a6edb4"
"lethivui_2016_7_26_12","lethivui_2016_7_26","12","3","2","Good","Home","Individual Task","23","638","ae93bc259cdc15e5"
"lethivui_2016_7_26_13","lethivui_2016_7_26","13","1","1","Normal","Home","Individual Task","24","640","ae93bc259cdc15e5"
"abc_2016_7_26_10","abc_2016_7_26","10","3","1","Good","Office (University)","Social activity","33","641","1129a092786099b3"
"trinhthikhanhquynh_2016_7_26_15","trinhthikhanhquynh_2016_7_26","15","3","0","Good","Home","Individual Task","48","642","d4d4f36a74a6edb4"
"lethivui_2016_7_26_16","lethivui_2016_7_26","16","1","2","Normal","Home","Individual Task","25","644","ae93bc259cdc15e5"
"abc_2016_7_26_12","abc_2016_7_26","12","3","1","Good","Office (University)","Social activity","34","645","1129a092786099b3"
